,rating_diff,duration (seconds),avg_time_per_move,opponent_rating,time_from_the_last_game,player_color,player_result
0,-281,336.0,5.226666666666665,1374,,black,Loss
1,139,515.0,12.436842105263157,1078,56121.63333333333,white,Win
2,106,773.0,17.249999999999996,1202,0.2166666666666666,black,Win
3,77,813.0,10.664864864864866,1306,5752.15,white,Win
4,-8,562.0,14.976190476190473,1316,0.2,black,Loss
5,710,1813.0,31.01714285714285,598,10595.166666666666,black,Loss
6,710,961.0,17.890625,598,0.5166666666666667,white,Loss
7,710,883.0,20.747826086956525,598,0.6166666666666667,black,Win
8,45,1658.0,17.22,1319,1100.9333333333334,white,Win
9,2,1831.0,18.05,1417,332.6333333333333,black,Win
10,15,1922.0,28.872222222222224,1354,6.783333333333333,white,Loss
11,9,218.0,9.807692307692305,1401,529.2333333333333,white,Win
12,-39,1123.0,8.652173913043477,1415,0.4166666666666667,black,Loss
13,-31,578.0,9.408571428571427,1376,113.08333333333331,black,Loss
14,-30,601.0,7.140909090909091,1346,0.1166666666666666,white,Loss
15,25,2716.0,11.742391304347828,1260,274.8,white,Loss
16,-5,1209.0,20.99166666666667,1317,2782.233333333333,black,Win
17,12,121.0,10.659999999999991,1274,4.666666666666667,black,Loss
18,-86,780.0,14.441666666666668,1354,0.5166666666666667,white,Loss
19,55,1796.0,32.488,1188,6.083333333333333,black,Loss
20,-81,1108.0,17.729032258064514,1306,1433.0666666666666,black,Loss
21,17,794.0,19.565217391304348,1228,0.1166666666666666,white,Win
22,35,617.0,11.552,1227,274.85,black,Win
23,2,381.0,14.311764705882354,1242,0.15,white,Loss
24,-41,926.0,12.569444444444446,1269,0.8333333333333334,white,Loss
25,-28,519.0,8.875,1259,1106.55,white,Loss
26,-36,1230.0,11.280769230769229,1253,0.3,black,Loss
27,20,977.0,14.68,1212,2798.25,white,Win
28,35,480.0,8.36578947368421,1210,1.0,white,Win
29,17,281.0,7.757894736842104,1242,2808.55,black,Win
30,90,658.0,13.396774193548383,1180,2.833333333333333,black,Win
31,-14,826.0,21.31851851851852,1271,0.3833333333333333,black,Loss
32,7,295.0,10.51176470588235,1263,1499.8333333333333,white,Win
33,-14,794.0,8.930434782608698,1272,11.05,black,Loss
34,11,482.0,10.713793103448278,1259,316.4166666666667,white,Win
35,-41,648.0,6.176923076923078,1301,0.5,white,Loss
36,49,502.0,12.447999999999997,1221,860.0666666666667,black,Win
37,29,940.0,16.82,1251,1558.05,black,Win
38,-44,1061.0,11.723913043478262,1314,83.93333333333334,white,Loss
39,11,462.0,11.362068965517242,1269,282.8833333333333,black,Win
40,-23,979.0,8.352941176470589,1304,0.1666666666666666,black,Draw
41,38,641.0,7.727586206896553,1252,0.8833333333333333,white,Win
42,4,493.0,8.465625000000001,1276,0.4666666666666667,black,Loss
43,-4,1123.0,9.389090909090909,1274,985.5166666666668,white,Loss
44,-7,1062.0,15.317948717948717,1268,83.3,black,Loss
45,89,961.0,17.8,1179,2.0166666666666666,white,Win
46,-39,663.0,8.671875,1299,148.88333333333333,white,Loss
47,6,1115.0,8.305797101449276,1263,0.0666666666666666,black,Win
48,6,618.0,12.448275862068964,1271,1192.7333333333331,white,Win
49,-27,1210.0,10.130508474576272,1296,4.666666666666667,black,Loss
50,62,922.0,12.105714285714283,1202,2796.9166666666665,black,Loss
51,101,1203.0,13.849999999999998,1170,0.25,white,Win
52,-26,1188.0,13.25952380952381,1306,47.93333333333333,white,Win
53,5,338.0,9.643478260869568,1267,264.4166666666667,black,Loss
54,21,733.0,8.855319148936172,1259,0.1,white,Win
55,28,830.0,13.539473684210526,1260,4.766666666666667,black,Win
56,95,1402.0,34.38,1190,1074.3,black,Win
57,47,918.0,13.922857142857142,1228,0.25,white,Loss
58,7,1029.0,18.86470588235294,1259,0.15,black,Loss
59,-27,1161.0,17.993548387096773,1285,1426.6666666666667,black,Loss
60,25,1060.0,13.935135135135136,1241,1012.4666666666668,black,Win
61,-21,934.0,13.253333333333332,1279,116.1,black,Loss
62,1012,817.0,5.472340425531915,246,12.116666666666667,black,Win
63,1012,460.0,3.984848484848485,246,0.8833333333333333,black,Win
64,3,775.0,11.78148148148148,1263,142.15,white,Win
65,-2,444.0,9.147826086956524,1260,1018.0333333333332,white,Loss
66,-43,474.0,6.629032258064518,1293,0.1166666666666666,black,Loss
67,-8,1015.0,10.63148148148148,1250,70.71666666666667,white,Loss
68,7,954.0,11.334285714285716,1226,79.46666666666667,white,Loss
69,6,403.0,14.699999999999998,1235,1445.0833333333333,black,Win
70,-31,758.0,11.98064516129032,1264,2.7,white,Loss
71,-34,373.0,9.223809523809528,1259,278.05,black,Loss
72,-27,627.0,8.725925925925926,1244,0.1666666666666666,white,Loss
73,34,863.0,10.417647058823528,1191,217.08333333333331,black,Win
74,-20,996.0,16.864516129032253,1237,55.11666666666667,black,Loss
75,-29,273.0,10.175000000000004,1238,977.65,white,Loss
76,-8,1111.0,12.869565217391305,1209,0.1333333333333333,white,Loss
77,5,303.0,14.628571428571425,1188,1.2,black,Loss
78,-39,1050.0,12.110204081632652,1225,0.1666666666666666,black,Loss
79,8,782.0,13.469444444444443,1186,1450.7,white,Win
80,-17,486.0,11.952,1203,6.45,black,Loss
81,-37,915.0,16.53611111111111,1216,0.1333333333333333,white,Loss
82,-2,234.0,9.275000000000006,1173,0.4166666666666667,black,Loss
83,21,1355.0,17.986842105263158,1158,19.816666666666663,white,Win
84,20,2611.0,18.57258064516129,1159,1344.7333333333331,white,Draw
85,-10,399.0,22.88888888888889,1181,10.75,black,Loss
86,63,516.0,15.150000000000002,1115,0.6333333333333333,black,Win
87,-80,1519.0,25.5939393939394,1251,1628.3333333333333,white,Loss
88,-12,1153.0,18.57037037037037,1192,0.1833333333333333,white,Win
89,17,2564.0,20.146551724137936,1171,0.2666666666666666,black,Win
90,61,2271.0,20.73333333333333,1134,2452.35,white,Win
91,19,1103.0,21.53333333333333,1184,21.416666666666668,white,Win
92,28,1108.0,21.253125,1166,7.766666666666667,black,Loss
93,23,496.0,8.942857142857138,1162,2536.55,black,Loss
94,-12,694.0,9.691999999999998,1189,0.3833333333333333,white,Loss
95,-46,949.0,24.43684210526316,1216,481.4333333333333,black,Loss
96,-20,1666.0,19.3061224489796,1199,209.16666666666663,white,Win
97,99,1034.0,18.775,1086,780.0666666666667,black,Win
98,3,1780.0,18.50638297872341,1174,53.35,white,Loss
99,74,510.0,16.529411764705884,1110,180.35,white,Win
100,4,1227.0,7.748837209302324,1172,0.6166666666666667,black,Loss
101,-42,578.0,13.574999999999996,1227,2.3,black,Win
102,119,2041.0,19.01372549019608,1072,211.78333333333333,black,Win
103,33,2051.0,25.61707317073171,1166,830.9,white,Win
104,16,1065.0,20.168421052631576,1191,76.68333333333334,white,Win
105,34,920.0,18.217857142857145,1181,4.55,black,Win
106,51,802.0,22.43684210526316,1154,198.85,white,Loss
107,-54,1600.0,28.45405405405405,1252,147.46666666666667,black,Loss
